stretching	1.n. 伸长；展宽 2.v. 拉伸（stretch的ing形式） 
residency	1.n. 住处；住院医生实习期 
pioneering	1.adj. 首创的；先驱的 
unconstitutional	1.adj. 违反宪法的 2.违反宪法地 
Venezuelan	1.n. 委内瑞拉人 2.adj. 委内瑞拉的；委内瑞拉人的 
Kejriwal	
varied	1.v. 改变；使多样化（vary的过去式和过去分词形式） 2.adj. 多变的；各式各样的；杂色的 
influences	1.n. 影响，影响力；作用（influence的复数形式） 2.vt. 影响，感化（influence的三单形式） 
Speaking	1.n. 说话；演讲 2.v. 讲（speak的ing形式） 3.adj. 演讲的；富于表情的，雄辩的 
Mahmoud	1.穆罕默德（伊斯兰男名） 
barrier	1.n. 障碍物，屏障；界线 2.vt. 把…关入栅栏 3.n. (Barrier)人名；(法)巴里耶 
Renault	1.n. 雷诺（姓氏）；法国雷诺公司 
pretext	1.n. 借口；托辞 2.vt. 以…为借口 
pregnancies	1.n. 怀孕；丰富，多产；意义深长 
insects	1.n. [昆] 昆虫；昆虫类，昆虫纲（insect的复数形式） 
Taylor	1.n. 泰勒 
Nawaz	1.n. (Nawaz)人名；(印、孟、巴基、阿富)纳瓦兹 
upwards	1.adv. 向上；在上部；向上游 
tempting	1.v. 引诱（tempt的ing形式） 2.adj. 吸引人的；诱惑人的 
booze	1.n. 酒；酒宴 2.vi. 豪饮；痛饮 3.n. (Booze)人名；(英)布兹 
stay-at-home	1.n. 不爱出门的人；经常呆在家里的人 2.adj. 不爱出门的；经常呆在家里的 
Coalition	1.n. 联合；结合，合并 
Kabul	1.n. 喀布尔（阿富汗的首都） 
arranged	1.v. 安排；计划；准备（arrange的过去式和过去分词） 2.adj. 安排的 
shirts	1.n. [服装] 衬衫（shirt的复数形式） 
glacier	1.n. 冰河，冰川 
Businesses	1.[贸易] 商业 2.[贸易] 生意 3.[贸易] 交易 4.事情 （business的名词复数） 
revolutionaries	1.n. 革命分子（revolutionary的复数形式） 
congress	1.n. 国会；代表大会；会议；社交 
communists	1.n. 共产党员（communist的复数形式） 
measuring	1.n. 测量；衡量 2.v. 测量（measure的ing形式） 3.adj. 测量用的 
crammed	1.v. 填入；把…塞满；贪婪地吃；临时抱佛脚地死记硬背（cram的过去式） 2.adj. 挤满的；塞满的 
Compared	1.adj. 比较的，对照的（compare的过去式和过去分词） 
Treaty	1.n. 条约，协议；谈判 
bulls	1.n. 公牛队（美国篮球队名）；布尔斯（地名） 
retained	1.v. 保留；保存（retain的过去式形式） 2.adj. 保留的 
tilt	1.n. 倾斜 2.vt. 使倾斜；使翘起 3.vi. 倾斜；翘起；以言词或文字抨击 4.n. (Tilt)人名；(英)蒂尔特 
ceiling	1.n. 天花板；上限 
catastrophic	1.adj. 灾难的；悲惨的；灾难性的，毁灭性的 
composed	1.v. 组成；作曲（compose的过去分词）；著作 2.adj. 镇静的；沉着的 
publicity	1.n. 宣传，宣扬；公开；广告；注意 
saga	1.n. 传说；冒险故事；英雄事迹 2.n. (Saga)人名；(阿拉伯)萨贾；(芬、捷、瑞典)萨加 
drafted	1.v. 设计；挑选；拉开（draft的过去分词） 
classified	1.n. 分类广告 2.v. 把…分类（classify的过去分词） 3.adj. 分类的；类别的；机密的 
stronghold	1.n. 要塞；大本营；中心地 
prayer	1.n. 祈祷，祷告；恳求；祈祷文 
umbrella	1.n. 雨伞；保护伞；庇护；伞形结构 
majorities	1.n. 多数；成年 
benefiting	1.n. 利益，好处；救济金 2.vt. 有益于，对…有益 3.vi. 受益，得益 
accommodate	1.vi. 适应；调解 2.vt. 容纳；使适应；供应；调解 
worryingly	1.adv. 焦虑地；烦恼地 
affluent	1.n. 支流；富人 2.adj. 富裕的；丰富的；流畅的 
understands	1.vt. 理解；懂；获悉；推断；省略 2.vi. 理解；懂得；熟悉 
Luxembourg	1.n. 卢森堡（卢森堡公国首都）；卢森堡公国 
quantity	1.n. 量，数量；大量；总量 
rational	1.n. 有理数 2.adj. 合理的；理性的 
co-founder	1.n. 共同创立者 
cotton	1.n. 棉花；棉布；棉线 2.adj. 棉的；棉制的 3.vi. 一致；理解；和谐；亲近 4.n. (Cotton)人名；(英、西、葡)科顿；(法)戈登 
shaped	1.adj. 合适的；成某种形状的；有计划的 2.vt. 发展；成形（shape的过去分词和过去式） 
anonymous	1.adj. 匿名的，无名的；无个性特征的 
stripped	1.v. 剥夺（strip的过去分词形式）；脱衣；把…剪成条状 2.adj. 剥去的 
Philae	1.n. 菲莱（埃及岛屿） 
demonstrated	1.演示 
Kenyan	1.n. 肯尼亚人 2.adj. 肯尼亚的；肯尼亚人的 
adoption	1.n. 采用；收养；接受 
sessions	1.n. 会议；会期（session的复数） 
Elections	1.n. 选举，选举制；投票（election的复数形式） 
Belarus	1.n. 白俄罗斯，白俄罗斯共和国 
yoga	1.n. 瑜珈（意为“结合”，指修行）；瑜珈术；联想可360°翻转的平板电脑 
portrait	1.n. 肖像；描写；半身雕塑像 2.n. (Portrait)人名；(法)波特雷 
Silvio	1.西尔维奥 
champions	1.n. 冠军（champion的复数形式）；夺标；盟主 2.v. 拥护，保卫（champion的三单形式） 
exceeded	1.v. 超过（exceed的过去分词）；越出 2.adj. 非常的；过度的；溢出的 
acceptance	
NAFTA	1.abbr. 北美自由贸易协定（North American Free Trade Agreement） 2.n. (Nafta)人名；(罗)纳夫塔 
trickier	1.adj. 狡猾的；机警的 (tricky的变形) 
consumed	1.v. 消耗（consume的过去式和过去分词） 2.adj. 充满的；对…著迷的 
neutrality	1.n. 中立；中性；中立立场 
pipes	1.n. 管线，管道；[材] 管子（pipe复数形式） 2.v. 吹奏管乐；尖声叫嚷（pipe的第三人称单数形式） 3.n. (Pipes)人名；(英)派普斯 
enabling	1.v. 使能够；授权给（enable的现在分词） 2.adj. 授权的 
failings	1.n. 失败；缺点，过失；弱点 2.prep. 如果没有… 3.adj. 失败的 4.v. 失败；不及格（fail的ing形式） 5.n. (Failing)人名；(英)费林 
Investing	1.n. [机] 熔模铸造 2.v. 投资；授与（invest的现在分词） 
Suisse	1.n. （法）瑞士（等于Switzerland） 
civilisation	1.n. （英）文明（等于civilization） 
unpredictable	1.n. 不可预言的事 2.adj. 不可预知的；不定的；出乎意料的 
Kachin	1.n. 克钦（缅甸地名）；克钦人；克钦语 
creativity	1.n. 创造力；创造性 
forth	1.adv. 向前，向外；自…以后 2.n. (Forth)人名；(德)福特；(英)福思 
catch-up	1.n. 空白部分起脏；版面污染；急起直追 2.adj. 有助于赶上的 
photograph	1.n. 照片，相片 2.vt. 为…拍照；使深深印入 3.vi. 拍照；在照片上显得 
Hospital	1.n. 医院 2.n. (Hospital)人名；(英)霍斯皮特尔 
advertisements	1.n. [经] 广告（advertisement的复数）；宣传 
Nigerians	1.尼日利亚人 
client	1.n. [经] 客户；顾客；委托人 
Benjamin	1.n. 本杰明（男子名）；受宠爱的幼子 
Lego	1.n. 乐高积木（商标名） 
FIFA	1.n. 费法（已裂变原子数与初始装料易裂变原子数之比） 
bloodshed	1.n. 流血；杀戮 
textbooks	1.n. 教科书；课本（textbook的复数） 
Siemens	1.n. [电] 西门子（财富500强公司之一，总部所在地德国，主要经营电子电气） 
undocumented	1.adj. 无事实证明的；无正式文件的 
unmarried	1.adj. [法] 未婚的；单身的；独身的 2.v. 离婚（unmarry的过去分词） 
Lewis	1.n. 吊楔 
Cortés	
Somali	1.n. 索马里人；索马里语 2.adj. 索马里的 
Windows	1.n. 微软公司生产的“视窗”操作系统 
Golf	1.n. 高尔夫球；高尔夫球运动 2.vi. 打高尔夫球 3.n. (Golf)人名；(西、挪)戈尔夫 
pacifist	1.n. 和平主义者 2.adj. 非战主义的 
Bangkok	1.n. 曼谷（泰国首都） 
Migration	1.n. 迁移；移民；移动 
Hadi	1.n. (Hadi)人名；(阿拉伯、伊朗、土、印尼)哈迪 
influx	1.n. 流入；汇集；河流的汇集处 
Fidel	1.n. 卡斯特罗（男子名） 
internationally	1.adv. 国际性地；在国际间 
intensified	1.加强的 
Reforming	1.n. 重整；改进；变换（reform的ing形式） 
dotcom	1.n. 达康（公司名）；网站 
co-ordination	1.n. 协调；配合 
featured	1.v. 使…有特色；起重要作用（feature的过去分词） 2.adj. 特定的；被作为特色的；有…的面貌特征的 
plagued	1.v. 困扰（plague的过去分词）；折磨 
resilient	1.adj. 弹回的，有弹力的 
qualify	1.vi. 取得资格，有资格 2.vt. 限制；使具有资格；证明…合格 
catastrophe	1.n. 大灾难；大祸；惨败 
triple	1.n. 三倍数；三个一组 2.adj. 三倍的；三方的 3.vt. 使成三倍 4.vi. 增至三倍 
Munich	1.n. 慕尼黑（联邦德国城市） 
suppress	1.vt. 抑制；镇压；废止 
liberty	1.n. 自由；许可；冒失 2.n. (Liberty)人名；(英)利伯蒂 
fever	1.n. 发烧，发热；狂热 2.vt. 使发烧；使狂热；使患热病 3.vi. 发烧；狂热；患热病 
portion	1.n. 部分；一份；命运 2.vt. 分配；给…嫁妆 
bones	1.n. 骨骼；身体；争议点（bone的复数） 2.v. 剔去…的骨；专心致志（bone的第三人称单数） 3.n. (Bones)人名；(英)博恩斯；(德)博内斯 
contender	1.n. 竞争者；争夺者 
Interest	1.n. 兴趣，爱好；利息；趣味；同行 2.vt. 使……感兴趣；引起……的关心；使……参与 
imagined	1.v. 想象（imagine的过去分词）；猜测 2.adj. 想象的；构想的 
sheer	1.n. 偏航；透明薄织物 2.adj. 绝对的；透明的；峻峭的；纯粹的 3.vt. 使偏航；使急转向 4.adv. 完全；陡峭地 5.vi. 偏航 
abolish	1.vt. 废除，废止；取消，革除 
abolished	1.v. 彻底废除；摧毁（abolish的过去分词） 2.adj. 废除的 
uniform	1.n. 制服 2.adj. 统一的；一致的；相同的；均衡的；始终如一的 3.vt. 使穿制服；使成一样 
pact	1.n. 协定；公约；条约；契约 
hardline	1.adj. 强硬的；不妥协的 2.n. 强硬路线 
banning	1.n. 禁止；禁令 2.v. 禁止；取缔；限制（ban的ing形式） 3.adj. 禁止的 
retort	1.n. 反驳，顶嘴；曲颈瓶 2.vi. 反驳，回嘴 3.vt. 反驳，反击 
scrambling	1.n. 不规则性；加扰；混乱；攀登 2.v. 争夺；攀登；仓促地做；混杂（scramble的ing形式） 
mismanagement	1.n. 管理不善；处置失当 
trafficking	1.n. 非法交易（尤指毒品买卖） 2.vi. 交易（traffic的现在分词） 
bare	1.adj. 空的；赤裸的，无遮蔽的 2.vt. 露出，使赤裸 3.n. (Bare)人名；(英)贝尔 
announcing	1.v. 宣布；发表；通告（announce的ing形式） 
Ahmed	1.n. 艾哈迈德（男子名） 
framework	1.n. 框架，骨架；结构，构架 
al-Sisi	
Activists	1.n. 积极分子（activist的复数）；活动分子 
tapping	1.n. [冶] 出钢；开孔；出渣；轻敲声 2.v. 轻敲（tap的ing形式）；轻拍 3.n. (Tapping)人名；(英)塔平 
diversify	1.vt. 使多样化，使变化；增加产品种类以扩大 
buses	1.n. 公共汽车（bus的复数形式） 2.v. 乘公共汽车；用公共汽车运送（bus的第三人称单数形式） 
amounted	1.vi. 总计，合计；相当于；共计；产生…结果 2.n. 数量；总额，总数 
collectively	1.adv. 共同地，全体地 
competence	1.n. 能力，胜任；权限；作证能力；足以过舒适生活的收入 
apprenticeships	1.n. 学徒（apprenticeship的复数）；学徒制 
demise	1.n. 死亡，终止；转让；传位 2.vt. 遗赠；禅让 
prince	1.n. 王子，国君；亲王；贵族 2.n. (Prince)人名；(英、葡)普林斯；(法)普兰斯； 
fond	1.adj. 喜欢的；温柔的；宠爱的 2.n. (Fond)人名；(法)丰；(瑞典)丰德 
Reid	1.n. 里德（等于Read，男子名） 
portray	1.vt. 描绘；扮演 
cost-cutting	1.n. 削减成本 2.v. 削减成本（cost-cut的ing形式） 
pumped	1.v. 用泵送；汲取；使喘不过气来（pump的过去分词） 2.adj. （肌肉由于过度运动）肿胀的；喘得上气不接下气的；腐心的 
Bernstein	1.n. 伯恩斯坦（姓氏） 
highlights	1.n. 拔萃，集锦；挑染（highlight的复数形式） 2.v. 使突出（highlight的三单形式）；强调 
listing	1.n. 列表，清单 2.v. 列表（list的现在分词） 3.n. (Listing)人名；(德)利斯廷 
best-known	1.adj. 流传久远的，最有名的 
opted	1.选择 2.做出抉择（opt的过去式和过去分词） 
behavioural	1.adj. 行为的；动作的 
highway	1.n. 公路，大路；捷径 
breed	1.n. [生物] 品种；种类，类型 2.vt. 繁殖；饲养；养育，教育；引起 3.vi. 繁殖；饲养；产生 4.n. (Breed)人名；(英)布里德 
convert	1.n. 皈依者；改变宗教信仰者 2.vt. 使转变；转换…；使…改变信仰 3.vi. 转变，变换；皈依；改变信仰 4.n. (Convert)人名；(法)孔韦尔 
outer	1.n. 环外命中 2.adj. 外面的，外部的；远离中心的 
licensed	1.v. 许可；批准（license的过去分词） 2.adj. 得到许可的（等于licenced） 
whereby	1.adv. 凭借；通过…；借以；与…一致 
medium-sized	1.adj. 中型的，中等大小的；普通型的 
ingredients	1.材料；作料 
Dubai	1.n. 迪拜（阿拉伯联合酋长国的酋长国之一）；迪拜港（阿拉伯联合酋长国港市） 
Nevada	1.n. 内华达（美国州名） 
credit-card	
broker	1.n. 经纪人，掮客 2.vt. 以中间人等身分安排... 3.vi. 作为权力经纪人进行谈判 4.n. (Broker)人名；(英)布罗克；(俄)布罗克尔 
Anwar	1.n. 安瓦尔；艾乃哇尔（一部影片） 
distributed	1.adj. 分布式的，分散式的 
accessible	1.adj. 易接近的；可进入的；可理解的 
loth	1.n. (Loth)人名；(法、德、波)洛特；(英)洛思；(老)洛 2.adj. 不愿意的（等于loath）；勉强的；憎恶的 
comparable	1.adj. 可比较的；比得上的 
Snowden	1.n. 斯诺登（姓氏） 
Medicaid	1.n. （美）医疗补助计划 
Likud	1.n. 利库德集团（以色列右翼政党） 
Mubarak	1.n. 穆巴拉克（姓氏） 
reinforced	1.v. 加强；增援（reinforce的过去分词） 2.adj. 加固的；加强的；加筋的 
Buffett	1.n. 巴菲特（男子名） 
scare	1.n. 恐慌；惊吓；惊恐 2.vt. 惊吓；把…吓跑 3.adj. （美）骇人的 4.vi. 受惊 
methane	1.n. [有化] 甲烷；[能源] 沼气 
capitalisation	1.n. 市值（等于capitalization）；（英）资本化 
consolidation	1.n. 巩固；合并；团结 
ailing	1.adj. 生病的，身体不舒服的；体衰的 2.v. 生病；苦恼（ail的ing形式） 
eased	1.v. 放松（ease过去分词形式） 2.adj. 放松的 
understandable	1.adj. 可以理解的；可以了解的 
mighty	1.n. 有势力的人 2.adj. 有力的；强有力的；有势力的 3.adv. 很；极；非常 
devastating	1.adj. 毁灭性的；全然的 2.v. 摧毁（devastate的ing形式）；毁坏 
defaults	1.n. 违约；[计] 默认；预设值（default的复数） 2.v. 违约；[计] 默认（default的三单形式） 
shocks	1.n. [力] 冲击；震动；缓冲装置；蓬乱的一堆；禾束堆（shock的复数） 2.v. 使震动；使休克；感到震惊；把…堆成禾束堆（shock的三单形式） 
prefers	1.vt. 更喜欢；宁愿；提出；提升 2.vi. 喜欢；愿意 
frets	1.n. 琴格；焦躁；磨损处（fret的复数） 2.v. 烦躁；侵蚀（fret的第三人称单数） 
gloomy	1.adj. 黑暗的；沮丧的；阴郁的 
qualified	1.v. 限制（qualify的过去分词）；描述；授权予 2.adj. 合格的；有资格的 
mayors	1.市长 
delighted	1.adj. 高兴的；欣喜的 2.v. 使…兴高采烈；感到快乐（delight的过去分词） 
stark	1.adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的 2.adv. 完全；明显地；突出地；质朴地 3.n. (Stark)人名；(俄、罗)斯塔尔克；(英、芬、法、瑞典)斯塔克；(德)施塔克 
tsunami	1.n. 海啸 
Cambodia	1.n. 柬埔寨（位于亚洲） 
steer	1.vt. 控制，引导；驾驶 2.vi. 驾驶，掌舵；行驶 3.n. 阉牛 4.n. (Steer)人名；(英)斯蒂尔；(德、匈)施特尔 
investigative	1.adj. 研究的；调查的；好调查的 
landslide	1.n. [地质] 山崩；大胜利 2.vi. 发生山崩；以压倒优胜获胜 
middle-aged	1.adj. 中年的；具有中年人特点的；适合于中年人的 
ranges	1.n. [仪] 量程，范围；[地理] 山脉（range的复数） 2.v. 延伸（range的第三人称单数）；排列；把…分类 
gambling	1.n. 赌博；投机 2.v. 赌博；打赌（gamble的ing形式） 3.n. (Gambling)人名；(英)甘布林 
liability	1.n. 责任；债务；倾向；可能性；不利因素 
simultaneously	1.adv. 同时地 
year-on-year	1.adj. 与上年同期数字相比的 
dwindling	1.减少 2.变小 3.退化 4.使减少（dwindle的现在分词） 
compulsory	1.n. （花样滑冰、竞技体操等的）规定动作 2.adj. 义务的；必修的；被强制的 
array	1.n. 数组，阵列；排列，列阵；大批，一系列；衣服 2.vt. 排列，部署；打扮 
